Document,L0 Out of Scope-L0 Out of Scope,L0 Out of Scope-L0 Heading,L0 Out of Scope-L1 Background,L0 Out of Scope-L1 Analysis,L0 Out of Scope-L2 Introductory Summary,L0 Out of Scope-L2 Outcome,L0 Out of Scope-Not Marked,L0 Heading-L0 Out of Scope,L0 Heading-L0 Heading,L0 Heading-L1 Background,L0 Heading-L1 Analysis,L0 Heading-L2 Introductory Summary,L0 Heading-L2 Outcome,L0 Heading-Not Marked,L1 Background-L0 Out of Scope,L1 Background-L0 Heading,L1 Background-L1 Background,L1 Background-L1 Analysis,L1 Background-L2 Introductory Summary,L1 Background-L2 Outcome,L1 Background-Not Marked,L1 Analysis-L0 Out of Scope,L1 Analysis-L0 Heading,L1 Analysis-L1 Background,L1 Analysis-L1 Analysis,L1 Analysis-L2 Introductory Summary,L1 Analysis-L2 Outcome,L1 Analysis-Not Marked,L2 Introductory Summary-L0 Out of Scope,L2 Introductory Summary-L0 Heading,L2 Introductory Summary-L1 Background,L2 Introductory Summary-L1 Analysis,L2 Introductory Summary-L2 Introductory Summary,L2 Introductory Summary-L2 Outcome,L2 Introductory Summary-Not Marked,L2 Outcome-L0 Out of Scope,L2 Outcome-L0 Heading,L2 Outcome-L1 Background,L2 Outcome-L1 Analysis,L2 Outcome-L2 Introductory Summary,L2 Outcome-L2 Outcome,L2 Outcome-Not Marked,Not Marked-L0 Out of Scope,Not Marked-L0 Heading,Not Marked-L1 Background,Not Marked-L1 Analysis,Not Marked-L2 Introductory Summary,Not Marked-L2 Outcome,Not Marked-Not Marked
Czech_Republic-CZ-1-31.txt,656,0,0,0,0,0,7,7,0,0,0,0,0,0,185,10,5179,0,0,0,7,73,0,0,7032,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,236,5,0,0,0,0,0,0,13
Czech_Republic-CZ-1-36.txt,1080,0,0,0,0,0,34,0,647,59,245,0,4,0,27,0,13387,0,0,0,4,0,0,0,66540,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,217,0,4,0,0,0,0,0,8
Czech_Republic-CZ-1-33.txt,881,0,0,0,0,0,34,0,10,0,0,0,0,0,501,0,17935,0,0,0,4,0,0,0,16416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,10
Czech_Republic-CZ-1-42.txt,1145,0,0,0,0,0,34,0,288,50,76,0,4,0,363,0,12727,0,0,0,4,0,0,192,21903,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,542,0,0,0,4,0,0,0,6
Czech_Republic-CZ-1-35.txt,796,0,0,0,0,0,8,8,10,4,0,0,0,0,95,0,6158,0,0,0,8,61,0,239,3518,0,0,21,0,0,0,0,0,0,0,0,0,0,6,0,288,2,7,0,6,0,0,0,5
Czech_Republic-CZ-1-37.txt,666,0,0,0,0,0,8,8,10,2,0,0,0,1,89,0,3691,0,0,0,6,61,0,2432,4501,0,0,31,0,0,0,0,0,0,0,0,0,0,6,0,175,2,4,0,5,0,0,0,5
Czech_Republic-CZ-1-34.txt,763,0,0,0,0,0,65,8,13,3,2,0,0,2,155,0,5208,0,0,0,8,85,0,0,9471,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,237,2,4,0,0,0,0,0,12
Czech_Republic-CZ-1-38.txt,795,0,0,0,0,0,34,154,10,0,0,0,0,0,20,0,4713,0,0,0,4,64,0,0,7842,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,300,0,5,0,0,0,0,0,10
Czech_Republic-CZ-1-39.txt,1402,0,0,0,0,0,34,5,432,81,137,0,16,0,404,0,27661,0,0,0,4,0,0,0,38060,0,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,966,0,4,0,0,0,0,0,14
Czech_Republic-CZ-1-40.txt,979,0,0,0,0,0,36,10,20,18,57,0,4,0,27,0,8476,0,0,0,4,64,0,0,18543,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,139,0,4,0,0,0,0,0,8
Czech_Republic-CZ-1-41.txt,967,0,0,0,0,0,36,6,11,12,5,0,2,0,31,0,2407,0,0,0,4,64,0,597,2194,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,230,0,4,0,4,0,0,0,4
Czech_Republic-CZ-1-46.txt,934,0,0,0,0,0,34,5,27,27,72,0,0,0,170,0,4454,0,0,0,4,0,0,483,11962,0,0,6,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,6,0,0,0,4
Czech_Republic-CZ-1-52.txt,1172,0,0,0,0,0,36,6,372,37,131,0,0,0,31,0,10172,0,0,0,4,59,0,0,36228,0,0,4,0,0,0,0,0,0,0,0,0,0,216,0,0,0,5,0,0,0,0,0,8
Czech_Republic-CZ-1-43.txt,574,0,0,0,0,0,59,8,21,1,0,0,0,0,35,0,1240,31,0,0,11,119,0,0,6278,0,0,11,0,0,0,0,0,0,0,0,0,0,554,0,0,1,8,0,0,8,0,0,3
Czech_Republic-CZ-1-44.txt,964,0,0,0,0,0,34,0,10,0,0,0,0,0,234,0,7596,2864,0,0,8,0,0,0,7012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,4,0,0,4,0,0,6
Czech_Republic-CZ-1-45.txt,930,0,0,0,0,0,34,0,10,0,0,0,0,0,86,0,13255,0,0,0,4,0,0,0,10509,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,411,2,4,0,0,0,0,0,8
Czech_Republic-CZ-1-47.txt,561,0,0,0,0,0,58,15,21,0,0,0,0,0,285,0,10168,0,0,0,7,67,0,0,3969,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,538,0,4,0,0,0,0,0,9
Czech_Republic-CZ-1-50.txt,868,0,0,0,0,0,34,6,11,0,0,0,0,0,31,0,6065,0,0,0,4,66,0,0,2941,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,333,0,5,0,0,0,0,0,10
Czech_Republic-CZ-1-51.txt,755,0,0,0,0,0,36,6,11,0,0,0,0,0,32,0,1008,0,0,0,4,55,0,1862,1954,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,298,0,4,0,4,0,0,0,4
Czech_Republic-CZ-1-49.txt,1078,0,0,0,0,0,34,0,10,0,0,0,0,0,27,0,3153,0,0,0,4,0,0,0,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,2,4,0,0,0,0,0,8
Czech_Republic-CZ-1-48.txt,1004,0,0,0,0,0,34,6,11,17,32,0,4,0,32,0,3824,0,0,0,4,64,0,0,6344,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,154,0,4,0,0,0,0,0,10
Czech_Republic-CZ-1-56.txt,601,0,0,0,0,0,61,6,22,21,5,0,0,1,200,0,15705,0,0,0,6,60,0,0,9965,0,0,12,0,0,0,0,0,0,0,0,0,0,332,0,0,0,4,0,0,0,0,0,6
Czech_Republic-CZ-1-57.txt,833,0,0,0,0,0,60,12,26,7,17,0,0,0,29,0,8933,0,0,0,7,67,0,0,7459,0,0,8,0,0,0,0,0,0,0,0,0,0,461,0,81,5,4,0,0,0,0,0,7
Czech_Republic-CZ-1-53.txt,896,0,0,0,0,0,59,7,24,20,7,0,5,1,22,0,12453,0,0,0,6,56,0,1372,18492,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,252,1,4,0,38,0,0,0,4
Czech_Republic-CZ-1-54.txt,1998,0,0,0,0,0,34,0,704,16,48,0,0,0,0,0,25388,0,0,0,0,0,0,1663,46618,0,607,8,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,6,0,0,0,8
Czech_Republic-CZ-1-58.txt,1260,0,0,0,0,0,38,0,22,0,0,0,0,0,0,0,10343,0,0,0,0,0,0,0,9705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,2,0,0,0,0,0,0,12
Czech_Republic-CZ-1-55.txt,22911,0,0,0,0,0,34,0,562,46,144,0,4,0,0,0,8872,0,0,0,6,0,0,0,34965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0,0,17
Czech_Republic-CZ-1-60.txt,35682,0,0,0,0,0,34,0,835,50,426,0,14,0,544,0,6564,0,0,0,4,0,0,1503,109378,0,106,4,0,0,0,0,0,0,0,0,0,0,0,0,597,0,4,0,8,0,0,0,13
Czech_Republic-CZ-1-59.txt,5458,0,0,0,0,0,39,0,11,0,0,0,0,0,0,0,1416,0,0,0,8,0,0,2872,5381,0,0,7,0,0,0,0,0,0,0,460,0,0,0,0,0,0,4,0,4,0,0,0,8
Czech_Republic-CZ-1-62.txt,1093,0,0,0,0,0,17,8,21,1,0,0,0,2,100,0,4250,0,0,0,8,57,0,0,7560,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,612,2,4,0,0,0,0,0,10
Czech_Republic-CZ-1-61.txt,1618,0,0,0,0,0,4,7,11,1,0,0,0,1,168,0,5305,0,0,0,7,57,0,0,19272,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,526,2,4,0,0,0,0,0,10
Czech_Republic-CZ-1-63.txt,917,0,0,0,0,0,9,7,21,0,0,0,0,0,140,0,5846,0,0,0,17,60,0,0,9328,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,208,2,4,0,0,0,0,0,8
Czech_Republic-CZ-1-64.txt,859,0,0,0,0,0,2,7,21,1,0,0,0,1,313,0,3678,0,0,0,7,196,0,0,3043,0,0,5,0,0,0,0,0,0,0,0,0,0,1311,0,0,1,4,0,0,0,0,0,8
Czech_Republic-CZ-1-66.txt,1203,0,0,0,0,0,4,8,21,1,0,0,0,1,100,0,5698,0,0,0,6,0,0,0,16870,0,0,4,0,0,0,0,0,0,0,0,0,0,1006,0,0,1,0,0,0,0,0,0,7
Czech_Republic-CZ-1-65.txt,1264,0,0,0,0,0,4,7,21,1,0,0,0,1,300,0,13183,0,0,0,6,184,0,0,11785,0,0,5,0,0,0,0,0,0,0,0,0,0,915,0,0,1,6,0,0,0,0,0,10
Czech_Republic-CZ-1-67.txt,807,0,0,0,0,0,1,6,21,1,0,0,0,0,163,0,5064,0,0,0,5,56,0,0,6378,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,561,0,5,0,0,0,0,0,7
Czech_Republic-CZ-1-68.txt,1036,0,0,0,0,0,0,7,20,1,0,0,0,1,145,0,2782,0,0,0,6,61,0,0,7063,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,660,1,2,0,0,0,0,0,7
Czech_Republic-CZ-1-70.txt,1089,0,0,0,0,0,2,10,22,1,0,0,0,2,125,0,5482,0,0,0,66,57,0,0,11863,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,424,1,4,0,0,0,0,0,15
Czech_Republic-CZ-1-69.txt,1449,0,0,0,0,0,15,7,21,1,0,0,0,1,165,0,3058,0,0,0,6,89,0,0,5020,0,139,6,0,0,0,0,0,0,0,0,0,0,0,0,401,2,5,0,0,0,0,0,9
Czech_Republic-CZ-1-71.txt,971,0,0,0,0,0,2,8,21,1,0,0,0,0,150,0,3890,0,0,0,67,89,0,0,10752,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,371,1,5,0,0,0,0,0,7
Czech_Republic-CZ-1-72.txt,1512,0,0,0,0,0,20,7,377,4,124,0,0,1,514,0,7751,0,0,0,7,110,0,0,20598,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,731,1,4,0,0,0,0,0,6
Czech_Republic-CZ-1-73.txt,2271,0,0,0,0,0,4,6,11,0,0,0,0,0,350,0,2470,0,0,0,6,0,0,0,7964,0,530,0,0,0,0,0,0,0,0,63,0,0,0,0,627,0,0,0,0,0,0,0,7
Czech_Republic-CZ-1-75.txt,1702,0,0,0,0,0,1540,0,21,1,0,0,0,1,0,0,5717,0,0,0,1,212,0,0,11180,0,0,6,0,0,0,0,0,0,0,0,0,0,682,0,0,1,5,0,0,0,0,0,22
Czech_Republic-CZ-1-74.txt,639,0,0,0,0,0,0,8,20,0,1,0,0,1,617,0,0,0,0,0,5,63,0,0,950,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,224,2,26,0,0,5,0,0,5
Czech_Republic-CZ-1-77.txt,1418,0,0,0,0,0,2,7,11,1,0,0,0,0,173,0,19996,0,0,0,12,57,0,0,14606,0,0,5,0,0,0,0,0,0,0,0,0,0,556,0,0,1,5,0,0,0,0,0,3
Czech_Republic-CZ-1-76.txt,1928,0,0,0,0,0,1,7,20,1,0,0,0,0,232,0,7026,0,0,0,10,0,0,0,16845,0,0,0,0,0,0,0,0,0,0,57,0,0,1205,0,0,1,4,0,0,0,0,0,7
Czech_Republic-CZ-1-78.txt,1451,0,0,0,0,0,21,6,21,0,0,0,0,1,485,0,8866,0,0,0,7,61,0,0,10337,0,0,10,0,0,0,0,0,0,0,0,0,0,1476,0,0,2,1,0,0,0,0,0,16
Czech_Republic-CZ-1-79.txt,1653,0,0,0,0,0,11,7,11,1,0,0,0,1,100,0,11221,0,0,0,5,4,0,0,14542,0,0,0,0,0,0,0,0,0,0,59,0,0,492,0,415,2,0,0,0,0,0,0,10
Czech_Republic-CZ-1-80.txt,909,0,0,0,0,0,3,7,21,1,0,0,0,0,219,0,6064,0,0,0,7,57,0,0,6574,0,0,5,0,0,0,0,0,0,0,0,0,0,1490,0,0,1,4,0,0,0,0,0,7
